Bulan,Berangkat,Datang
1-Jan-2006,45873,30651
1-Feb-2006,32223,21635
1-Mar-2006,30675,24752
1-Apr-2006,28657,24482
1-May-2006,30387,23914
1-Jun-2006,30798,28659
1-Jul-2006,41111,39662
1-Aug-2006,30734,28991
1-Sep-2006,24892,38732
1-Oct-2006,47548,89098
1-Nov-2006,105339,35644
1-Dec-2006,43781,38723
1-Jan-2007,39378,24933
1-Feb-2007,37644,26967
1-Mar-2007,35313,33469
1-Apr-2007,37162,28224
1-May-2007,42282,34009
1-Jun-2007,46511,42557
1-Jul-2007,57775,54096
1-Aug-2007,36474,40875
1-Sep-2007,31260,56584
1-Oct-2007,87092,87259
1-Nov-2007,71242,28208
1-Dec-2007,36833,38228
1-Jan-2008,40007,28268
1-Feb-2008,29464,24557
1-Mar-2008,34519,32980
1-Apr-2008,36045,37825
1-May-2008,39318,36938
1-Jun-2008,43784,50326
1-Jul-2008,61204,63428
1-Aug-2008,42030,57807
1-Sep-2008,29561,101912
1-Oct-2008,132579,56666
1-Nov-2008,53390,35335
1-Dec-2008,41409,45428
1-Jan-2009,34380,34389
1-Feb-2009,23229,27324
1-Mar-2009,27784,30607
1-Apr-2009,29723,28545
1-May-2009,28098,28778
1-Jun-2009,40845,43860
1-Jul-2009,41830,44535
1-Aug-2009,29574,47272
1-Sep-2009,46969,89845
1-Oct-2009,79933,33033
1-Nov-2009,41407,29115
1-Dec-2009,42038,35044
1-Jan-2010,35777,30325
1-Feb-2010,27202,24742
1-Mar-2010,30502,30111
1-Apr-2010,33603,24282
1-May-2010,27029,30269
1-Jun-2010,33529,41721
1-Jul-2010,48222,52035
1-Aug-2010,27455,60057
1-Sep-2010,77157,71859
1-Oct-2010,61161,25129
1-Nov-2010,29356,22926
1-Dec-2010,35955,30955
1-Jan-2011,32284,29230
1-Feb-2011,26626,23089
1-Mar-2011,31151,27127
1-Apr-2011,33254,27062
1-May-2011,32876,32026
1-Jun-2011,36089,42437
1-Jul-2011,45996,58075
1-Aug-2011,19588,92823
1-Sep-2011,112775,41707
1-Oct-2011,57083,25763
1-Nov-2011,41960,34533
1-Dec-2011,37189,40110
1-Jan-2012,36793,35045
1-Feb-2012,28634,25820
1-Mar-2012,24726,29010
1-Apr-2012,28573,28486
1-May-2012,27054,31738
1-Jun-2012,21336,41065
1-Jul-2012,27295,60523
1-Aug-2012,47052,81579
1-Sep-2012,97851,30513
1-Oct-2012,31749,34642
1-Nov-2012,37802,28545
1-Dec-2012,23437,37048
1-Jan-2013,19967,23722
1-Feb-2013,18727,21578
1-Mar-2013,17058,19583
1-Apr-2013,18142,24091
1-May-2013,14642,23040
1-Jun-2013,13527,26047
1-Jul-2013,21506,56925
1-Aug-2013,47986,51899
1-Sep-2013,58263,18871
1-Oct-2013,20968,21338
1-Nov-2013,28836,24711
1-Dec-2013,20164,33724
1-Jan-2014,22103,23965
1-Feb-2014,23436,21833
1-Mar-2014,25760,25189
1-Apr-2014,17508,20221
1-May-2014,19552,25142
1-Jun-2014,21083,44957
1-Jul-2014,23171,76620
1-Aug-2014,96999,39909
1-Sep-2014,34296,24253
1-Oct-2014,25943,26121
1-Nov-2014,19607,22412
1-Dec-2014,17978,27608
1-Jan-2015,22103,23965
1-Feb-2015,12909,15914
1-Mar-2015,14878,16950
1-Apr-2015,16006,18119
1-May-2015,13373,22264
1-Jun-2015,15046,32390
1-Jul-2015,60796,79584
1-Aug-2015,78248,29446
1-Sep-2015,25116,25767
1-Oct-2015,24968,22700
1-Nov-2015,18911,21072
1-Dec-2015,18766,24425
1-Jan-2016,24133,19393
1-Feb-2016,13993,14398
1-Mar-2016,11114,14091
1-Apr-2016,11088,11881
1-May-2016,12373,19115
1-Jun-2016,16461,35624
1-Jul-2016,81139,50645
1-Aug-2016,40224,17152
1-Sep-2016,16515,16066
1-Oct-2016,18448,11786
1-Nov-2016,13678,9047
1-Dec-2016,17459,15514
1-Jan-2017,22477,21797
1-Feb-2017,13035,11438
1-Mar-2017,14186,12827
1-Apr-2017,9697,11907
1-May-2017,12492,16460
1-Jun-2017,12753,55242
1-Jul-2017,107208,35977
1-Aug-2017,50980.5,44151
1-Sep-2017,17584,15119
1-Oct-2017,16800,14631
1-Nov-2017,11681,11517
1-Dec-2017,15564,20478
1-Jan-2018,15626,12994
1-Feb-2018,13951,10736
1-Mar-2018,13392,14736
1-Apr-2018,11208,8843
1-May-2018,13393,23935
1-Jun-2018,67227,88070
1-Jul-2018,80087,23493
1-Aug-2018,20212,18999
1-Sep-2018,20753,19659
1-Oct-2018,17569,15304
1-Nov-2018,16393,14017
1-Dec-2018,19999,24110
1-Jan-2019,24010,17872
1-Feb-2019,24578,25316
1-Mar-2019,22442,21315
1-Apr-2019,23515,25079
1-May-2019,29046,48207
1-Jun-2019,77413,86097
1-Jul-2019,48665,24543
1-Aug-2019,33141,26665
1-Sep-2019,43024,35142
1-Oct-2019,45533,35679
1-Nov-2019,38769,33711
1-Dec-2019,47618,48058
1-Jan-2020,19639,13339
1-Feb-2020,11338,13035
1-Mar-2020,44439,34898
1-Apr-2020,7892,15734
1-May-2020,2810,3346
1-Jun-2020,5048,10350
1-Jul-2020,8100,11511
1-Aug-2020,13273,9343
1-Sep-2020,17707,14945
1-Oct-2020,13441,13195
1-Nov-2020,13212,11100
1-Dec-2020,25125,22150
1-Jan-2021,22254,17117
1-Feb-2021,15209,14965
1-Mar-2021,17045,17744
1-Apr-2021,21642,35530
1-May-2021,13071,15556
1-Jun-2021,17366,8939
1-Jul-2021,18227,18792
1-Aug-2021,14058,14588
1-Sep-2021,27935,33440
1-Oct-2021,19404,25388
1-Nov-2021,32648,35131
1-Dec-2021,30925,33718
1-Jan-2022,23864,23146
1-Feb-2022,22592,24176
1-Mar-2022,28575,34190
1-Apr-2022,26497,53167
1-May-2022,92790,79355
1-Jun-2022,88612,59228
1-Jul-2022,72479,67426
1-Aug-2022,74330,68002
1-Sep-2022,40486,39619
1-Oct-2022,35480,34877
1-Nov-2022,42240,42072
1-Dec-2022,57277,60624
1-Jan-2023,32144,26901
1-Feb-2023,43886,43396
1-Mar-2023,48664,57017
1-Apr-2023,30473,80678
1-May-2023,82489,77705
1-Jun-2023,109919,76425
1-Jul-2023,77501,69488
1-Aug-2023,74782,68935
1-Sep-2023,63942,66627
1-Oct-2023,68093,69365
1-Nov-2023,53545,49708
1-Dec-2023,46329,46303
